file,source_file,type,classification,evidence_line,sha256,staged_matches_current
am_map.c,engine/doomgeneric/doomgeneric/am_map.c,c,GPL-2.0-or-later,7,231797a010b46488b792ac5ef4a6c44881b5a9f0b853486b1b3e86811e4c2bcd,true
am_map.h,engine/doomgeneric/doomgeneric/am_map.h,h,GPL-2.0-or-later,7,fb1b567653556224d26db3b2745faf24ed7cdf7baaa62dfdb874c56bfdaec97c,true
config.h,firmware/src/doom/doom_build_config.h,h,GPL-3.0-or-later,3,ce61c9c4e3e03f227c000efeafcfdb3dc6b5c240f88e422a0055f99e22db2109,true
d_englsh.h,engine/doomgeneric/doomgeneric/d_englsh.h,h,GPL-2.0-or-later,7,778d5cfd5aa899692f13e62c21f950171c00fae1fa2a8949f3019cd156093758,true
d_event.c,engine/doomgeneric/doomgeneric/d_event.c,c,GPL-2.0-or-later,7,517290fa6dd8ab544b94ec2ed36b7c300104980cb89014bd89067d23b2da986b,true
d_event.h,engine/doomgeneric/doomgeneric/d_event.h,h,GPL-2.0-or-later,7,5d9504c3a440160ae86f20ca32dd5f65faa97b84cb90e9450b1c5d1ab996fc02,true
d_items.c,engine/doomgeneric/doomgeneric/d_items.c,c,GPL-2.0-or-later,7,e85d6f8919ebe6812f846be5e40eb99a00a9b901f1b55325d0598c60e1d9708f,true
d_items.h,engine/doomgeneric/doomgeneric/d_items.h,h,GPL-2.0-or-later,7,a816d70fbca8c4fc1639c19300e15eddf2e0f2c64cde4c56e022b5129eb888cb,true
d_iwad.c,engine/doomgeneric/doomgeneric/d_iwad.c,c,GPL-2.0-or-later,6,8ecb85b8e971c1fd25410290ab2faeec7b9fc21f988c7b0b291884cafc58e71f,true
d_iwad.h,engine/doomgeneric/doomgeneric/d_iwad.h,h,GPL-2.0-or-later,6,d53f8a94cdde3150adc72cb4d1a32e6bf5cd210ce5a9aee9cbae019bc0bc78de,true
d_loop.c,engine/doomgeneric/doomgeneric/d_loop.c,c,GPL-2.0-or-later,7,321462b423e3fbcb749bd35115a6e88846f2b27ae06ce06b62a4e67802c3a731,true
d_loop.h,engine/doomgeneric/doomgeneric/d_loop.h,h,GPL-2.0-or-later,7,bd01441bb6ec713a5d7a3b3bbb88023c6f4848574b150aeb0b55f8bd231b7235,true
d_main.c,engine/doomgeneric/doomgeneric/d_main.c,c,GPL-2.0-or-later,7,b4b68d83b336848d2f1e456d4f7663369afc27bbaca645fb1dccf184d21031be,true
d_main.h,engine/doomgeneric/doomgeneric/d_main.h,h,GPL-2.0-or-later,7,d56067c8ba9444d9c343bedff5ab4a28b4e32c6f2ec55cef0e2accf52b31181e,true
d_mode.c,engine/doomgeneric/doomgeneric/d_mode.c,c,GPL-2.0-or-later,6,460e687d9edfb02491d98c4b0d6caeac3d8ff94816e440d971cae417ec746083,true
d_mode.h,engine/doomgeneric/doomgeneric/d_mode.h,h,GPL-2.0-or-later,7,8c2688fd844734a875a1c178e0e22b3b10b18fa838c45632c3656c0e3868a0c4,true
d_net.c,engine/doomgeneric/doomgeneric/d_net.c,c,GPL-2.0-or-later,7,b3c2a8fc933a6609324b2f06913c747a2177c37b502db4ecb96e6d4a953c708f,true
d_player.h,engine/doomgeneric/doomgeneric/d_player.h,h,GPL-2.0-or-later,7,ad637d79f27966dba26bac4ee0fb2ff8c8a6b19b282d22c0948adbbd7f2e5fee,true
d_think.h,engine/doomgeneric/doomgeneric/d_think.h,h,GPL-2.0-or-later,7,ffcbaae0d875a0cd2243d4646cf35bdc8167f2485d12b685a49b7895fb96f454,true
d_ticcmd.h,engine/doomgeneric/doomgeneric/d_ticcmd.h,h,GPL-2.0-or-later,8,4fe4d762fc32bedfb9dd0017ebe196fde00b5836e7b485cfe92068f7d455927e,true
deh_main.h,engine/doomgeneric/doomgeneric/deh_main.h,h,GPL-2.0-or-later,6,ad6a4bfa7c05d4fb54e22bc085e5d72b1d18e1be93e0b80e27afa3c7d6867a47,true
deh_misc.h,engine/doomgeneric/doomgeneric/deh_misc.h,h,GPL-2.0-or-later,6,dd48bfdbb6e75d52c6eea91736b4a780947b86fc8d94b016aed97cedc99f7b9d,true
deh_str.h,engine/doomgeneric/doomgeneric/deh_str.h,h,GPL-2.0-or-later,6,0d3bc5a120d951a8b9a4128d626d5ca300529ce3ccd51278a0683c479c2e2695,true
